annee;code_sexe;sexe;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;etablissement;code_academie;academie;code_region;region;code_pres;PRES;code_idex;IDEX;beneficiaires;geolocalisation
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0381912X;Institut polytechnique de Grenoble;08;Grenoble;82;Rhône-Alpes;0383412C;PRES Université de Grenoble;;Hors IDEX;7;45.19071, 5.717403
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0590338X;École nationale supérieure des arts et industries textiles de Roubaix;09;Lille;31;Nord-Pas-de-Calais;0596870X;PRES Université Lille Nord de France;;Hors IDEX;1;50.67484, 3.106
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0631525R;Université Clermont-Ferrand 2 - Blaise Pascal;06;Clermont-Ferrand;83;Auvergne;0631987T;PRES Clermont Université;;Hors IDEX;5;45.77626, 3.091604
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0670190T;Institut national des sciences appliquées de Strasbourg;15;Strasbourg;42;Alsace;;Hors PRES;;Hors IDEX;2;48.58229, 7.764933
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0751717J;Université Paris 1 - Panthéon Sorbonne;01;Paris;11;Île-de-France;0755581J;PRES Hautes Etudes - Sorbonne - Arts et Métiers;;Hors IDEX;1;48.8468, 2.34486
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0753494R;Muséum national d'histoire naturelle;01;Paris;11;Île-de-France;0755574B;PRES Sorbonne université;5;IDEX SUPER;1;48.84412, 2.355615
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0830766G;Université de Toulon - Sud Toulon Var;23;Nice;93;Provence-Alpes-Côte d'Azur;;Hors PRES;;Hors IDEX;4;43.13739, 6.008149
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0860856N;Université de Poitiers;13;Poitiers;54;Poitou-Charentes;0861420B;PRES Limousin Poitou-Charentes;;Hors IDEX;5;46.5857, 0.345813
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0870669E;Université de Limoges;22;Limoges;74;Limousin;0861420B;PRES Limousin Poitou-Charentes;;Hors IDEX;5;45.82649, 1.258314
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0931827F;Université Paris 8 - Vincennes Saint-Denis;24;Créteil;11;Île-de-France;0755698L;PRES Paris Lumières;;Hors IDEX;1;48.94524, 2.363943
2002;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;9740478B;Université de La Réunion;28;Réunion;04;La Réunion;;Hors PRES;;Hors IDEX;1;-20.8776, 55.4473
2002;1;Hommes;4;Santé;1;Professeurs et assimilés;0331765P;Université Bordeaux 2 - Victor Segalen;04;Bordeaux;72;Aquitaine;;Hors PRES;;Hors IDEX;2;
2002;1;Hommes;4;Santé;1;Professeurs et assimilés;0490970N;Université d'Angers;17;Nantes;52;Pays de la Loire;0442665H;PRES Université Nantes Angers Maine;;Hors IDEX;1;47.47702, -0.54955
2002;1;Hommes;4;Santé;1;Professeurs et assimilés;0542493S;Université de Lorraine;12;Nancy-Metz;41;Lorraine;0542471T;PRES Université de Lorraine;;Hors IDEX;2;48.69623, 6.176543
2002;1;Hommes;4;Santé;1;Professeurs et assimilés;0801344B;Université d'Amiens - Jules Verne;20;Amiens;22;Picardie;0512141A;PRES Picardie-Champagne;;Hors IDEX;1;49.87624, 2.266836
2002;1;Hommes;4;Santé;2;Maîtres de conférences et assimilés;0801344B;Université d'Amiens - Jules Verne;20;Amiens;22;Picardie;0512141A;PRES Picardie-Champagne;;Hors IDEX;1;49.87624, 2.266836
2002;1;Hommes;4;Santé;2;Maîtres de conférences et assimilés;0911101C;Université Paris 11 - Paris Sud;25;Versailles;11;Île-de-France;0912274C;PRES UniverSud Paris;3;IDEX PARIS SACLAY;1;48.69818, 2.181768
2002;1;Hommes;5;STAPS;1;Professeurs et assimilés;0673021V;Université de Strasbourg;15;Strasbourg;42;Alsace;;Hors PRES;8;UNISTRA;2;48.58004, 7.765612
2002;1;Hommes;5;STAPS;1;Professeurs et assimilés;0691774D;Université Lyon 1 - Claude Bernard;10;Lyon;82;Rhône-Alpes;0694094A;PRES Université de Lyon;;Hors IDEX;2;45.77916, 4.872874
2002;1;Hommes;5;STAPS;1;Professeurs et assimilés;0761904G;Université de Rouen;21;Rouen;23;Haute-Normandie;0142382N;PRES Normandie Université;;Hors IDEX;1;49.46033, 1.067308
2002;1;Hommes;5;STAPS;2;Maîtres de conférences et assimilés;0251215K;Université de Besançon - Franche-Comté;03;Besançon;43;Franche-Comté;0212207K;PRES Bourgogne Franche-Comté;;Hors IDEX;1;47.24045, 6.022715
2002;1;Hommes;5;STAPS;2;Maîtres de conférences et assimilés;0341087X;Université Montpellier 1;11;Montpellier;91;Languedoc-Roussillon;0342255S;PRES Université Montpellier Sud de France;;Hors IDEX;1;43.61493, 3.873641
2002;1;Hommes;5;STAPS;2;Maîtres de conférences et assimilés;0350937D;Université Rennes 2 - Haute Bretagne;14;Rennes;53;Bretagne;0352756F;PRES Université européenne de Bretagne;;Hors IDEX;1;48.1215, -1.70447
2002;2;Femmes;1;Droit et sciences économiques;1;Professeurs et assimilés;0211237F;Université de Dijon - Bourgogne;07;Dijon;26;Bourgogne;0212207K;PRES Bourgogne Franche-Comté;;Hors IDEX;1;47.3141, 5.066377
2002;2;Femmes;1;Droit et sciences économiques;1;Professeurs et assimilés;0692437Z;Université Lyon 3 - Jean Moulin;10;Lyon;82;Rhône-Alpes;0694094A;PRES Université de Lyon;;Hors IDEX;2;45.75181, 4.837565
2002;2;Femmes;1;Droit et sciences économiques;1;Professeurs et assimilés;0911101C;Université Paris 11 - Paris Sud;25;Versailles;11;Île-de-France;0912274C;PRES UniverSud Paris;3;IDEX PARIS SACLAY;1;48.69818, 2.181768
2002;2;Femmes;1;Droit et sciences économiques;1;Professeurs et assimilés;0931238R;Université Paris 13 - Paris Nord;24;Créteil;11;Île-de-France;0755598C;PRES Sorbonne Paris Cité;7;IDEX USPC;1;48.95591, 2.338811
2002;2;Femmes;1;Droit et sciences économiques;2;Maîtres de conférences et assimilés;0341089Z;Université Montpellier 3 - Paul-Valéry;11;Montpellier;91;Languedoc-Roussillon;0342255S;PRES Université Montpellier Sud de France;;Hors IDEX;1;43.63678, 3.867299
